课程号	课程名称	开课学院	余量	容量	待定(本专业/所有)	本账号已选	教学班	教师	周五上课时间	地点	学期段	考试时间	候选来源/页签
PHY2005G	大学物理实验	物理学院	1	30	0~4	否	(2026-2027-1)-PHY2005G-0017687-102	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	2	30	0~3	否	(2026-2027-1)-PHY2005G-0017687-103	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	3	30	0~5	否	(2026-2027-1)-PHY2005G-0017687-104	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	5	30	0~8	否	(2026-2027-1)-PHY2005G-0017687-105	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	4	30	0~6	否	(2026-2027-1)-PHY2005G-0017687-106	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	2	30	0~2	否	(2026-2027-1)-PHY2005G-0017687-107	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	2	30	0~3	否	(2026-2027-1)-PHY2005G-0017687-108	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	4	30	0~7	否	(2026-2027-1)-PHY2005G-0017687-109	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	4	30	0~6	否	(2026-2027-1)-PHY2005G-0017687-110	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	10	30	0~18	否	(2026-2027-1)-PHY2005G-0017687-111	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	1	30	0~1	否	(2026-2027-1)-PHY2005G-0017687-112	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PHY2005G	大学物理实验	物理学院	2	30	0~3	否	(2026-2027-1)-PHY2005G-0017687-99	肖婷	周五第3,4,5节	紫金港东4-212	秋冬	2027年01月11日(14:00-16:00)	PDF培养方案 / 通识-自然科学选修、通识必修-全部、通识必修-自然科学
PPAE0715G	打开艺术之门——越剧	公共体育与艺术部	0	25	0~0	否	(2026-2027-1)-PPAE0715G-Y240012-1	金彩芳	周五第11,12,13节	银泉学生服务中心226	秋冬	待定	zdbk目录 / 通识选修-全部、通识选修-博雅技艺
